ProductBatch,WorkOrder,ProductionDate,MachineId,MoldId,BottleId,Material,Characteristic,Class,AQL,Standard,InspectionLevel,LotSize,CodeLetter,SampleSize,AcceptanceNumber,RejectionNumber,DefectsFound,LotDecision,InspectionDateTime,Inspector
LOTE-M-SOP-007-2000,WO-1000,2025-07-01,ISBM-001,M-SOP-007,FR-007-PP-350,PP,Flash,Major,0.65,ISO 2859-1,II,9848,L,200,5,6,2,Approved,2025-07-01 08:18:43.591,Beatriz Costa
LOTE-M-SOP-007-2000,WO-1000,2025-07-01,ISBM-001,M-SOP-007,FR-007-PP-350,PP,Bubbles,Major,0.65,ISO 2859-1,II,9848,L,200,5,6,3,Approved,2025-07-01 03:20:51.902,Beatriz Costa
LOTE-M-SOP-007-2000,WO-1000,2025-07-01,ISBM-001,M-SOP-007,FR-007-PP-350,PP,Black Specks,Minor,1.5,ISO 2859-1,II,9848,L,200,10,11,0,Approved,2025-07-01 02:45:54.092,Diogo Ferreira
LOTE-M-SOP-007-2000,WO-1000,2025-07-01,ISBM-001,M-SOP-007,FR-007-PP-350,PP,Burr,Major,0.65,ISO 2859-1,II,9848,L,200,5,6,0,Approved,2025-07-01 10:42:12.594,Carlos Mendes
LOTE-M-SOP-007-2000,WO-1001,2025-07-01,ISBM-001,M-SOP-007,FR-007-PP-350,PP,Bubbles,Major,0.65,ISO 2859-1,II,2951,L,200,5,6,0,Approved,2025-07-01 23:49:35.841,Elena Santos
LOTE-M-SOP-007-2000,WO-1001,2025-07-01,ISBM-001,M-SOP-007,FR-007-PP-350,PP,Black Specks,Minor,1.5,ISO 2859-1,II,2951,L,200,10,11,3,Approved,2025-07-02 09:52:50.030,Ana Silva
LOTE-M-SOP-007-2000,WO-1001,2025-07-01,ISBM-001,M-SOP-007,FR-007-PP-350,PP,Transparency,Minor,1.5,ISO 2859-1,II,2951,L,200,10,11,1,Approved,2025-07-02 10:05:05.186,Diogo Ferreira
LOTE-M-SOP-007-2000,WO-1001,2025-07-01,ISBM-001,M-SOP-007,FR-007-PP-350,PP,Color,Minor,1.5,ISO 2859-1,II,2951,L,200,10,11,4,Approved,2025-07-02 07:29:31.117,Beatriz Costa
LOTE-M-SOP-007-2000,WO-1001,2025-07-01,ISBM-001,M-SOP-007,FR-007-PP-350,PP,Burr,Major,0.65,ISO 2859-1,II,2951,L,200,5,6,2,Approved,2025-07-01 22:52:34.715,Ana Silva
LOTE-M-SOP-007-2001,WO-1002,2025-07-02,ISBM-001,M-SOP-007,FR-007-HDPE-350,HDPE,Leakage,Critical,0.1,ISO 2859-1,II,8205,L,200,0,1,0,Approved,2025-07-02 15:49:29.307,Ana Silva
LOTE-M-SOP-007-2001,WO-1002,2025-07-02,ISBM-001,M-SOP-007,FR-007-HDPE-350,HDPE,Flash,Major,0.65,ISO 2859-1,II,8205,L,200,5,6,1,Approved,2025-07-03 01:12:18.338,Elena Santos
LOTE-M-SOP-007-2001,WO-1002,2025-07-02,ISBM-001,M-SOP-007,FR-007-HDPE-350,HDPE,Stain,Minor,1.5,ISO 2859-1,II,8205,L,200,10,11,1,Approved,2025-07-03 00:58:27.984,Elena Santos
LOTE-M-SOP-007-2001,WO-1002,2025-07-02,ISBM-001,M-SOP-007,FR-007-HDPE-350,HDPE,Burr,Major,0.65,ISO 2859-1,II,8205,L,200,5,6,0,Approved,2025-07-03 01:40:15.208,Carlos Mendes
LOTE-M-SOP-007-2002,WO-1003,2025-07-03,ISBM-001,M-SOP-007,FR-007-HDPE-350,HDPE,Flash,Major,0.65,ISO 2859-1,II,11632,M,315,7,8,5,Approved,2025-07-03 15:40:58.769,Diogo Ferreira
LOTE-M-SOP-007-2002,WO-1003,2025-07-03,ISBM-001,M-SOP-007,FR-007-HDPE-350,HDPE,Black Specks,Minor,1.5,ISO 2859-1,II,11632,M,315,14,15,3,Approved,2025-07-03 04:55:55.659,Diogo Ferreira
LOTE-M-SOP-007-2002,WO-1003,2025-07-03,ISBM-001,M-SOP-007,FR-007-HDPE-350,HDPE,Transparency,Minor,1.5,ISO 2859-1,II,11632,M,315,14,15,3,Approved,2025-07-03 10:52:16.022,Beatriz Costa
LOTE-M-SOP-007-2002,WO-1003,2025-07-03,ISBM-001,M-SOP-007,FR-007-HDPE-350,HDPE,Burr,Major,0.65,ISO 2859-1,II,11632,M,315,7,8,1,Approved,2025-07-03 19:11:25.986,Diogo Ferreira
LOTE-M-SOP-007-2002,WO-1004,2025-07-03,ISBM-001,M-SOP-007,FR-007-HDPE-350,HDPE,Bubbles,Major,0.65,ISO 2859-1,II,12795,M,315,7,8,2,Approved,2025-07-03 23:36:19.800,Elena Santos
LOTE-M-SOP-007-2002,WO-1004,2025-07-03,ISBM-001,M-SOP-007,FR-007-HDPE-350,HDPE,Stain,Minor,1.5,ISO 2859-1,II,12795,M,315,14,15,4,Approved,2025-07-04 12:20:41.108,Elena Santos
LOTE-M-SOP-007-2002,WO-1004,2025-07-03,ISBM-001,M-SOP-007,FR-007-HDPE-350,HDPE,Transparency,Minor,1.5,ISO 2859-1,II,12795,M,315,14,15,1,Approved,2025-07-04 11:50:03.281,Ana Silva
LOTE-M-SOP-001-2003,WO-1005,2025-07-04,ISBM-001,M-SOP-001,FR-001-HDPE-300,HDPE,Flash,Major,0.65,ISO 2859-1,II,7043,L,200,5,6,1,Approved,2025-07-04 22:21:41.998,Carlos Mendes
LOTE-M-SOP-001-2003,WO-1005,2025-07-04,ISBM-001,M-SOP-001,FR-001-HDPE-300,HDPE,Bubbles,Major,0.65,ISO 2859-1,II,7043,L,200,5,6,0,Approved,2025-07-04 22:46:27.712,Ana Silva
LOTE-M-SOP-001-2003,WO-1005,2025-07-04,ISBM-001,M-SOP-001,FR-001-HDPE-300,HDPE,Black Specks,Minor,1.5,ISO 2859-1,II,7043,L,200,10,11,2,Approved,2025-07-05 06:31:29.582,Carlos Mendes
LOTE-M-SOP-001-2003,WO-1005,2025-07-04,ISBM-001,M-SOP-001,FR-001-HDPE-300,HDPE,Stain,Minor,1.5,ISO 2859-1,II,7043,L,200,10,11,2,Approved,2025-07-05 04:28:05.837,Diogo Ferreira
LOTE-M-SOP-001-2003,WO-1005,2025-07-04,ISBM-001,M-SOP-001,FR-001-HDPE-300,HDPE,Transparency,Minor,1.5,ISO 2859-1,II,7043,L,200,10,11,3,Approved,2025-07-05 00:05:49.470,Ana Silva
LOTE-M-SOP-001-2003,WO-1005,2025-07-04,ISBM-001,M-SOP-001,FR-001-HDPE-300,HDPE,Color,Minor,1.5,ISO 2859-1,II,7043,L,200,10,11,2,Approved,2025-07-04 20:46:58.477,Beatriz Costa
LOTE-M-SOP-001-2003,WO-1005,2025-07-04,ISBM-001,M-SOP-001,FR-001-HDPE-300,HDPE,Burr,Major,0.65,ISO 2859-1,II,7043,L,200,5,6,1,Approved,2025-07-04 21:35:54.254,Elena Santos
LOTE-M-SOP-001-2004,WO-1006,2025-07-05,ISBM-001,M-SOP-001,FR-001-rPET-300,rPET,Leakage,Critical,0.1,ISO 2859-1,II,10478,M,315,0,1,0,Approved,2025-07-05 19:32:23.155,Ana Silva
LOTE-M-SOP-001-2004,WO-1006,2025-07-05,ISBM-001,M-SOP-001,FR-001-rPET-300,rPET,Flash,Major,0.65,ISO 2859-1,II,10478,M,315,7,8,1,Approved,2025-07-05 09:06:59.570,Elena Santos
LOTE-M-SOP-001-2004,WO-1006,2025-07-05,ISBM-001,M-SOP-001,FR-001-rPET-300,rPET,Bubbles,Major,0.65,ISO 2859-1,II,10478,M,315,7,8,2,Approved,2025-07-05 20:07:16.338,Ana Silva
LOTE-M-SOP-001-2004,WO-1006,2025-07-05,ISBM-001,M-SOP-001,FR-001-rPET-300,rPET,Black Specks,Minor,1.5,ISO 2859-1,II,10478,M,315,14,15,0,Approved,2025-07-05 08:07:39.022,Carlos Mendes
LOTE-M-SOP-001-2004,WO-1006,2025-07-05,ISBM-001,M-SOP-001,FR-001-rPET-300,rPET,Stain,Minor,1.5,ISO 2859-1,II,10478,M,315,14,15,3,Approved,2025-07-05 11:21:13.187,Elena Santos
