ProductBatch,WorkOrder,ProductionDate,Shift,MachineId,MoldId,BottleId,LotSize,CodeLetter,SampleSize,CriticalDefects,MajorDefects,MinorDefects,TotalSampleDefects,VariablesDecision,AttributesDecision,FinalLotDecision,DispositionDetail,LotDecisionDateTime,Remarks,Inspector
LOTE-M-SOP-007-2000,WO-1001,2025-07-01,Shift 2,ISBM-001,M-SOP-007,FR-007-PP-350,12799,M,315,0,7,8,15,Conforming,Approved,Approved,Approved - First Pass,2025-07-03 00:47:55.232,—,Carlos Mendes
LOTE-M-SOP-007-2001,WO-1002,2025-07-02,Shift 1,ISBM-001,M-SOP-007,FR-007-HDPE-350,8205,L,200,0,1,1,2,Conforming,Approved,Approved,Approved - First Pass,2025-07-03 13:55:58.768,—,Ana Silva
LOTE-M-SOP-007-2002,WO-1004,2025-07-03,Shift 2,ISBM-001,M-SOP-007,FR-007-HDPE-350,24427,M,315,0,8,11,19,Conforming,Approved,Approved,Approved - First Pass,2025-07-05 06:35:04.339,—,Diogo Ferreira
LOTE-M-SOP-001-2003,WO-1005,2025-07-04,Shift 2,ISBM-001,M-SOP-001,FR-001-HDPE-300,7043,L,200,0,2,9,11,Conforming,Approved,Approved,Approved - First Pass,2025-07-05 13:11:07.389,—,Beatriz Costa
LOTE-M-SOP-001-2004,WO-1006,2025-07-05,Shift 1,ISBM-001,M-SOP-001,FR-001-rPET-300,10478,M,315,0,3,6,9,Conforming,Approved,Approved,Approved - First Pass,2025-07-06 19:18:51.483,—,Beatriz Costa
LOTE-M-SOP-001-2005,WO-1007,2025-07-06,Shift 3,ISBM-001,M-SOP-001,FR-001-rPET-300,5419,L,200,0,0,6,6,Conforming,Approved,Approved,Approved - First Pass,2025-07-07 05:44:43.506,—,Carlos Mendes
LOTE-M-SOP-001-2006,WO-1010,2025-07-08,Shift 3,ISBM-001,M-SOP-001,FR-001-HDPE-PCR-300,25708,M,315,0,5,14,19,Conforming,Approved,Approved,Approved - First Pass,2025-07-09 04:03:22.227,—,Elena Santos
LOTE-M-SOP-007-2007,WO-1012,2025-07-09,Shift 2,ISBM-001,M-SOP-007,FR-007-PP-350,18010,M,315,0,5,21,26,Conforming,Approved,Approved,Approved - First Pass,2025-07-11 02:51:32.195,—,Carlos Mendes
LOTE-M-SOP-001-2008,WO-1015,2025-07-11,Shift 2,ISBM-001,M-SOP-001,FR-001-HDPE-300,16950,M,315,0,0,10,10,Conforming,Approved,Approved,Approved - First Pass,2025-07-12 21:53:10.150,—,Diogo Ferreira
LOTE-M-SOP-001-2009,WO-1017,2025-07-12,Shift 2,ISBM-001,M-SOP-001,FR-001-HDPE-300,14092,M,315,0,2,5,7,Conforming,Approved,Approved,Approved - First Pass,2025-07-13 13:45:17.482,—,Elena Santos
