ProductBatch,WorkOrder,ProductionDate,Shift,MachineId,MoldId,CapId,Material,CapType,Characteristic,Class,AQL,Standard,InspectionLevel,LotSize,CodeLetter,SampleSize,AcceptanceNumber,RejectionNumber,DefectsFound,LotDecision,InspectionDateTime,Inspector
LOTE-M-INJ-001-5465,WO-7361,2025-07-01,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Flash,Major,0.65,ISO 2859-1,II,13077,M,315,7,8,3,Approved,2025-07-01 09:43:14.447,Carlos Mendes
LOTE-M-INJ-001-5465,WO-7361,2025-07-01,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Short Shot,Major,0.65,ISO 2859-1,II,13077,M,315,7,8,1,Approved,2025-07-01 08:14:42.755,Elena Santos
LOTE-M-INJ-001-5465,WO-7361,2025-07-01,Shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Stain,Minor,1.5,ISO 2859-1,II,13077,M,315,14,15,2,Approved,2025-07-01 07:53:25.551,Ana Silva
LOTE-M-INJ-001-5465,WO-7362,2025-07-01,Shift 2,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Thread,Critical,0.1,ISO 2859-1,II,14192,M,315,0,1,0,Approved,2025-07-01 20:29:07.666,Ana Silva
LOTE-M-INJ-001-5465,WO-7362,2025-07-01,Shift 2,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Sealing,Critical,0.1,ISO 2859-1,II,14192,M,315,0,1,0,Approved,2025-07-01 22:51:23.344,Carlos Mendes
LOTE-M-INJ-001-5465,WO-7362,2025-07-01,Shift 2,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Flash,Major,0.65,ISO 2859-1,II,14192,M,315,7,8,1,Approved,2025-07-02 00:57:21.024,Beatriz Costa
LOTE-M-INJ-001-5465,WO-7362,2025-07-01,Shift 2,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Short Shot,Major,0.65,ISO 2859-1,II,14192,M,315,7,8,0,Approved,2025-07-02 04:28:38.701,Diogo Ferreira
LOTE-M-INJ-001-5465,WO-7362,2025-07-01,Shift 2,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Stain,Minor,1.5,ISO 2859-1,II,14192,M,315,14,15,3,Approved,2025-07-01 23:02:06.556,Ana Silva
LOTE-M-INJ-001-5465,WO-7362,2025-07-01,Shift 2,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Color,Minor,1.5,ISO 2859-1,II,14192,M,315,14,15,5,Approved,2025-07-01 16:32:55.793,Elena Santos
LOTE-M-INJ-001-5466,WO-7363,2025-07-02,Shift 1,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Thread,Critical,0.1,ISO 2859-1,II,19180,M,315,0,1,0,Approved,2025-07-02 14:28:13.766,Elena Santos
LOTE-M-INJ-001-5466,WO-7363,2025-07-02,Shift 1,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Flash,Major,0.65,ISO 2859-1,II,19180,M,315,7,8,0,Approved,2025-07-03 01:14:30.310,Elena Santos
LOTE-M-INJ-001-5466,WO-7363,2025-07-02,Shift 1,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Short Shot,Major,0.65,ISO 2859-1,II,19180,M,315,7,8,0,Approved,2025-07-02 07:55:17.396,Ana Silva
LOTE-M-INJ-001-5466,WO-7363,2025-07-02,Shift 1,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,Color,Minor,1.5,ISO 2859-1,II,19180,M,315,14,15,2,Approved,2025-07-02 19:13:08.365,Ana Silva
LOTE-M-INJ-001-5467,WO-7364,2025-07-03,shift 3,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Thread,Critical,0.1,ISO 2859-1,II,12804,M,315,0,1,0,Approved,2025-07-03 05:44:50.528,Elena Santos
LOTE-M-INJ-001-5467,WO-7364,2025-07-03,Shift 3,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Sealing,Critical,0.1,ISO 2859-1,II,12804,M,315,0,1,1,Rejected,2025-07-03 16:09:16.205,Diogo Ferreira
LOTE-M-INJ-001-5467,WO-7364,2025-07-03,Shift 3,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Short Shot,Major,0.65,ISO 2859-1,II,12804,M,315,7,8,0,Approved,2025-07-03 16:43:27.792,Carlos Mendes
LOTE-M-INJ-001-5467,WO-7364,2025-07-03,Shift 3,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,Stain,Minor,1.5,ISO 2859-1,II,12804,M,315,14,15,1,Approved,2025-07-03 19:14:19.430,Diogo Ferreira
LOTE-M-INJ-001-5468,WO-7365,2025-07-03,Shift 2,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,Thread,Critical,0.1,ISO 2859-1,II,6470,L,200,0,1,0,Approved,2025-07-04 00:02:24.528,Ana Silva
