ProductBatch,WorkOrder,ProductionDate,Shift,MachineId,MoldId,CapId,Material,CapType,LotSize,CodeLetter,SampleSize,CriticalDefects,MajorDefects,MinorDefects,TotalSampleDefects,VariablesDecision,AttributesDecision,FinalLotDecision,DispositionDetail,LotDecisionDateTime,Remarks,Inspector
LOTE-M-INJ-001-5465,WO-7362,2025-07-01,Shift 2,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,27269,M,315,0,5,10,15,Conforming,Approved,Approved,Approved - First Pass,2025-07-02 17:18:08.175,—,Carlos Mendes
LOTE-M-INJ-001-5466,WO-7363,2025-07-02,Shift 1,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,19180,M,315,0,0,2,2,Conforming,Approved,Approved,Approved - First Pass,2025-07-03 12:50:33.392,—,Carlos Mendes
LOTE-M-INJ-001-5467,WO-7364,2025-07-03,Shift 3,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,12804,M,315,1,0,1,2,Conforming,Rejected,Rejected,Rejected - Scrapped,2025-07-04 02:33:34.754,Sealing:1(Re=1),Ana Silva
LOTE-M-INJ-001-5468,WO-7365,2025-07-03,Shift 2,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,6470,L,200,0,0,0,0,Conforming,Approved,Approved,Approved - First Pass,2025-07-05 04:31:40.551,—,Diogo Ferreira
LOTE-M-INJ-001-5469,WO-7368,2025-07-05,Shift 2,IM-001,M-INJ-001,TR-001-PETG-24410,PETG,Screw Cap,46969,M,315,0,5,9,14,Conforming,Approved,Approved,Approved - First Pass,2025-07-07 04:02:13.997,—,Diogo Ferreira
LOTE-M-INJ-001-5470,WO-7369,2025-07-06,Shift 1,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,19826,M,315,0,1,2,3,Conforming,Approved,Approved,Approved - First Pass,2025-07-07 04:45:02.185,—,Ana Silva
LOTE-M-INJ-001-5471,WO-7372,2025-07-08,Shift 1,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,51335,M,315,0,1,4,5,Conforming,Approved,Approved,Approved - First Pass,2025-07-09 10:55:49.217,—,Elena Santos
LOTE-M-INJ-001-5472,WO-7373,2025-07-09,shift 3,IM-001,M-INJ-001,TR-001-PP-PCR-24410,PP-PCR,Screw Cap,13997,M,315,1,0,10,11,Conforming,Rejected,Rejected,Rejected - Scrapped,2025-07-10 03:01:37.274,Sealing:1(Re=1),Diogo Ferreira
LOTE-M-INJ-001-5473,WO-7375,2025-07-10,Shift 1,IM-001,M-INJ-001,TR-001-HDPE-24410,HDPE,Screw Cap,24778,M,315,0,1,2,3,Conforming,Approved,Approved,Approved - First Pass,2025-07-11 12:34:21.393,—,Carlos Mendes
LOTE-M-INJ-001-5474,WO-7376,2025-07-10,Shift 3,IM-001,M-INJ-001,TR-001-PP-24410,PP,Screw Cap,19587,M,315,0,0,0,0,Conforming,Approved,Approved,Approved - First Pass,2025-07-12 10:17:43.648,—,Ana Silva
