CAPAId,OpenDate,DueDate,CloseDate,Status,CAPAType,RelatedNCId,Area,Process,Severity,RootCauseCategory,Owner,EffectivenessCheck
CAPA-4000,2025-08-03,2025-09-28,2025-09-07,Closed,Corrective,NC-00001,Production,Blow Molding,Major,Raw Material,Sandra Reis,Not Effective
CAPA-4001,2025-08-16,2025-09-12,2025-09-26,Closed,Preventive,NC-00002,Production,Blow Molding,Minor,Raw Material,Carlos Mendes,Effective
CAPA-4002,2025-09-26,2025-11-07,2025-11-04,Closed,Preventive,NC-00003,Production,Blow Molding,Major,Method/Procedure,Elena Santos,Pending
CAPA-4003,2025-10-28,2025-11-17,2025-12-04,Closed,Corrective,NC-00005,Production,Blow Molding,Major,Machine/Equipment,Elena Santos,Pending
CAPA-4004,2025-11-10,2025-12-29,2025-12-27,Closed,Preventive,NC-00007,Production,Blow Molding,Major,Mold/Tooling,Patrícia Lima,Effective
CAPA-4005,2025-11-18,2026-01-10,2025-12-10,Closed,Preventive,NC-00008,Production,Blow Molding,Major,Machine/Equipment,Ana Silva,Effective
CAPA-4006,2025-12-04,2026-01-22,2026-01-26,Closed,Corrective,NC-00009,Production,Blow Molding,Minor,Raw Material,Carlos Mendes,Effective
CAPA-4007,2025-12-12,2026-01-31,,Overdue,Preventive,NC-00010,Production,Blow Molding,Major,Man (Operator),Carlos Mendes,Effective
CAPA-4008,2025-12-22,2026-01-27,2026-01-25,Closed,Corrective,NC-00011,Production,Blow Molding,Major,Man (Operator),Vitor Sousa,Pending
CAPA-4009,2026-01-15,2026-02-20,2026-03-07,Closed,Corrective,NC-00013,Production,Blow Molding,Major,Raw Material,Carlos Mendes,Not Effective
CAPA-4010,2026-01-21,2026-02-28,,Overdue,Corrective,NC-00014,Production,Blow Molding,Major,Mold/Tooling,Vitor Sousa,Not Effective
CAPA-4011,2026-03-12,2026-04-08,,Overdue,Corrective,NC-00016,Production,Blow Molding,Major,Method/Procedure,Carlos Mendes,Pending
CAPA-4012,2026-04-25,2026-05-15,2026-06-16,Closed,Corrective,NC-00020,Production,Blow Molding,Major,Method/Procedure,Ana Silva,Not Effective
CAPA-4013,2026-05-18,2026-07-11,,Overdue,Corrective,NC-00021,Production,blow molding,Major,Raw Material,Ana Silva,Pending
