ComplaintId,Date,CustomerId,ProductFamily,Process,ProductId,WorkOrder,LotId,DefectType,Severity,QtyAffected,Status,ResolutionDate,SalesOrderId
CC-20000,2025-12-15,CUST-012,Bottle,Blow Molding,FR-007-PVC-350,WO-1228,2549321010122831,Foreign Material / Contamination,Critical,51,Open,,SO-10175
CC-20001,2026-01-09,CUST-002,Bottle,Blow Molding,FR-007-PVC-350,WO-1249,2551331010124952,Weight Out of Specification,Critical,120,Closed,2026-02-01,SO-10191
CC-20002,2026-02-12,CUST-005,Bottle,Blow Molding,FR-007-HDPE-PCR-350,WO-1305,2605211010130509,Short Shipment (Quantity Shortfall),Critical,-48,Closed,2026-03-18,SO-10227
CC-20003,2026-11-17,CUST-003,Bottle,Blow Molding,FR-007-PETG-350,WO-1712,2644621010171220,Foreign Material / Contamination,Major,49,Closed,2026-12-09,SO-10550
CC-20004,2026-12-19,CUST-009,Bottle,Blow Molding,FR-007-PVC-350,WO-1769,2650131010176977,Deformation/Collapsed Bottle,Critical,98,Closed,2027-01-17,SO-10593
CC-20005,2025-11-02,CUST-014,Bottle,Blow Molding,FR-005-rPET-330,WO-1974,2543321020197471,Late Delivery,Minor,102,Open,,SO-10751
CC-20006,2025-11-18,CUST-008,Bottle,Blow Molding,FR-008-HDPE-PCR-350,WO-1988,2544621020198885,Wrong Product Shipped,Major,25,Closed,2025-12-05,SO-10762
CC-20007,2025-12-09,CUST-005,Bottle,Blow Molding,FR-002-HDPE-PCR-300,WO-2012,2547111020201210,Wall Thickness Out of Specification,Major,20,Closed,2025-12-12,SO-10785
CC-20008,2026-02-22,CUST-009,Bottle,Blow Molding,FR-008-PET-350,WO-2130,2606711020213029,Wrong Product Shipped,Minor,26,Closed,2026-03-05,SO-10876
CC-20009,2026-03-23,CUST-003,Bottle,Blow Molding,FR-008-HDPE-350,WO-2160,2609731020216059,Short Shipment (Quantity Shortfall),Critical,21,Closed,2026-04-10,SO-10901
CC-20010,2026-04-25,CUST-006,Bottle,Blow Molding,FR-005-rPET-330,WO-2212,2614721020221212,Short Shipment (Quantity Shortfall),Critical,1,Open,,SO-10946
CC-20011,2026-05-08,CUST-003,Bottle,BLOW MOLDING,FR-005-rPET-330,WO-2232,2616711020223232,Weight Out of Specification,Major,59,Closed,2026-06-08,SO-10963
