StudyId,RunOrder,MachineId,MoldId,ProductId,BarrelTemperatureC,InjectionSpeedPct,CoolingTimeSec,BarrelTemperatureCoded,InjectionSpeedCoded,CoolingTimeCoded,RunDateTime,Characteristic,InspectedQty,DefectsFound,DefectRateP
DOE-IM002-SHORTSHOT-001,1,IM-002,M-INJ-002,TR-002-PP-24410,235.0,90.0,14.0,1,1,1,2026-08-03 07:00:00.826,Short Shot,300,2,0.00667
DOE-IM002-SHORTSHOT-001,2,IM-002,M-INJ-002,TR-002-PP-24410,235.0,90.0,8.0,1,1,-1,2026-08-03 10:00:00.709,Short Shot,300,1,0.00333
DOE-IM002-SHORTSHOT-001,3,IM-002,M-INJ-002,TR-002-PP-24410,215.0,50.0,14.0,-1,-1,1,2026-08-03 13:00:00.019,Short Shot,300,36,0.12
DOE-IM002-SHORTSHOT-001,4,IM-002,M-INJ-002,TR-002-PP-24410,225.0,70.0,11.0,0,0,0,2026-08-03 16:00:00.795,Short Shot,300,2,0.00667
DOE-IM002-SHORTSHOT-001,5,IM-002,M-INJ-002,TR-002-PP-24410,235.0,50.0,14.0,1,-1,1,2026-08-03 19:00:00.189,Short Shot,300,3,0.01
DOE-IM002-SHORTSHOT-001,6,IM-002,M-INJ-002,TR-002-PP-24410,235.0,50.0,8.0,1,-1,-1,2026-08-03 22:00:00.940,Short Shot,300,1,0.00333
DOE-IM002-SHORTSHOT-001,7,IM-002,M-INJ-002,TR-002-PP-24410,215.0,90.0,8.0,-1,1,-1,2026-08-04 01:00:00.144,Short Shot,300,3,0.01
DOE-IM002-SHORTSHOT-001,8,IM-002,M-INJ-002,TR-002-PP-24410,235.0,90.0,14.0,1,1,1,2026-08-04 04:00:00.334,Short Shot,300,3,0.01
DOE-IM002-SHORTSHOT-001,9,IM-002,M-INJ-002,TR-002-PP-24410,235.0,50.0,8.0,1,-1,-1,2026-08-04 07:00:00.487,Short Shot,300,5,0.01667
DOE-IM002-SHORTSHOT-001,10,IM-002,M-INJ-002,TR-002-PP-24410,215.0,50.0,14.0,-1,-1,1,2026-08-04 10:00:00.798,Short Shot,300,49,0.16333
DOE-IM002-SHORTSHOT-001,11,IM-002,M-INJ-002,TR-002-PP-24410,225.0,70.0,11.0,0,0,0,2026-08-04 13:00:00.978,Short Shot,300,4,0.01333
DOE-IM002-SHORTSHOT-001,12,IM-002,M-INJ-002,TR-002-PP-24410,235.0,90.0,8.0,1,1,-1,2026-08-04 16:00:00.728,Short Shot,300,0,0.0
DOE-IM002-SHORTSHOT-001,13,IM-002,M-INJ-002,TR-002-PP-24410,215.0,50.0,8.0,-1,-1,-1,2026-08-04 19:00:00.914,Short Shot,300,47,0.15667
DOE-IM002-SHORTSHOT-001,14,IM-002,M-INJ-002,TR-002-PP-24410,215.0,50.0,14.0,-1,-1,1,2026-08-04 22:00:00.348,Short Shot,300,41,0.13667
DOE-IM002-SHORTSHOT-001,15,IM-002,M-INJ-002,TR-002-PP-24410,215.0,90.0,14.0,-1,1,1,2026-08-05 01:00:00.466,Short Shot,300,2,0.00667
DOE-IM002-SHORTSHOT-001,16,IM-002,M-INJ-002,TR-002-PP-24410,225.0,70.0,11.0,0,0,0,2026-08-05 04:00:00.438,Short Shot,300,2,0.00667
DOE-IM002-SHORTSHOT-001,17,IM-002,M-INJ-002,TR-002-PP-24410,215.0,90.0,8.0,-1,1,-1,2026-08-05 07:00:00.820,Short Shot,300,1,0.00333
DOE-IM002-SHORTSHOT-001,18,IM-002,M-INJ-002,TR-002-PP-24410,235.0,50.0,14.0,1,-1,1,2026-08-05 10:00:00.266,Short Shot,300,3,0.01
DOE-IM002-SHORTSHOT-001,19,IM-002,M-INJ-002,TR-002-PP-24410,215.0,90.0,8.0,-1,1,-1,2026-08-05 13:00:00.685,Short Shot,300,7,0.02333
DOE-IM002-SHORTSHOT-001,20,IM-002,M-INJ-002,TR-002-PP-24410,215.0,50.0,8.0,-1,-1,-1,2026-08-05 16:00:00.229,Short Shot,300,48,0.16
DOE-IM002-SHORTSHOT-001,21,IM-002,M-INJ-002,TR-002-PP-24410,235.0,50.0,8.0,1,-1,-1,2026-08-05 19:00:00.216,Short Shot,300,6,0.02
DOE-IM002-SHORTSHOT-001,22,IM-002,M-INJ-002,TR-002-PP-24410,215.0,90.0,14.0,-1,1,1,2026-08-05 22:00:00.658,Short Shot,300,5,0.01667
DOE-IM002-SHORTSHOT-001,23,IM-002,M-INJ-002,TR-002-PP-24410,235.0,90.0,14.0,1,1,1,2026-08-06 01:00:00.285,Short Shot,300,2,0.00667
DOE-IM002-SHORTSHOT-001,24,IM-002,M-INJ-002,TR-002-PP-24410,235.0,90.0,8.0,1,1,-1,2026-08-06 04:00:00.141,Short Shot,300,0,0.0
DOE-IM002-SHORTSHOT-001,25,IM-002,M-INJ-002,TR-002-PP-24410,215.0,50.0,8.0,-1,-1,-1,2026-08-06 07:00:00.533,Short Shot,300,53,0.17667
DOE-IM002-SHORTSHOT-001,26,IM-002,M-INJ-002,TR-002-PP-24410,235.0,50.0,14.0,1,-1,1,2026-08-06 10:00:00.621,Short Shot,300,3,0.01
DOE-IM002-SHORTSHOT-001,27,IM-002,M-INJ-002,TR-002-PP-24410,215.0,90.0,14.0,-1,1,1,2026-08-06 13:00:00.394,Short Shot,300,1,0.00333
