StudyId,PartId,ProducedByOperatorId,Inspector,Trial,Characteristic,Unit,MeasuredValue,MeasurementDateTime,LSL,Nominal,USL
GRR-CAP-WEIGHT-001,PART-01,OP-INJ-003,Ana Silva,1,Weight,g,10.8291,2026-08-03 08:00:00.769,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-01,OP-INJ-003,Ana Silva,2,Weight,g,10.8335,2026-08-03 08:04:00.922,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-01,OP-INJ-003,Ana Silva,3,Weight,g,10.7852,2026-08-03 08:08:00.169,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-01,OP-INJ-003,Beatriz Costa,1,Weight,g,10.8387,2026-08-03 08:12:00.863,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-01,OP-INJ-003,Beatriz Costa,2,Weight,g,10.8892,2026-08-03 08:16:00.310,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-01,OP-INJ-003,Beatriz Costa,3,Weight,g,10.8063,2026-08-03 08:20:00.150,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-01,OP-INJ-003,Carlos Mendes,1,Weight,g,10.8016,2026-08-03 08:24:00.077,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-01,OP-INJ-003,Carlos Mendes,2,Weight,g,10.8455,2026-08-03 08:28:00.307,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-01,OP-INJ-003,Carlos Mendes,3,Weight,g,10.8049,2026-08-03 08:32:00.423,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-02,OP-INJ-003,Ana Silva,1,Weight,g,10.5722,2026-08-03 08:36:00.843,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-02,OP-INJ-003,Ana Silva,2,Weight,g,10.7245,2026-08-03 08:40:00.622,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-02,OP-INJ-003,Ana Silva,3,Weight,g,10.5179,2026-08-03 08:44:00.361,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-02,OP-INJ-003,Beatriz Costa,1,Weight,g,10.6588,2026-08-03 08:48:00.457,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-02,OP-INJ-003,Beatriz Costa,2,Weight,g,10.6703,2026-08-03 08:52:00.847,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-02,OP-INJ-003,Beatriz Costa,3,Weight,g,10.6736,2026-08-03 08:56:00.447,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-02,OP-INJ-003,Carlos Mendes,1,Weight,g,10.6067,2026-08-03 09:00:00.089,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-02,OP-INJ-003,Carlos Mendes,2,Weight,g,10.5431,2026-08-03 09:04:00.320,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-02,OP-INJ-003,Carlos Mendes,3,Weight,g,10.6332,2026-08-03 09:08:00.912,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-03,OP-INJ-003,Ana Silva,1,Weight,g,12.0252,2026-08-03 09:12:00.146,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-03,OP-INJ-003,Ana Silva,2,Weight,g,12.0348,2026-08-03 09:16:00.884,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-03,OP-INJ-003,Ana Silva,3,Weight,g,12.0328,2026-08-03 09:20:00.780,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-03,OP-INJ-003,Beatriz Costa,1,Weight,g,11.9978,2026-08-03 09:24:00.937,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-03,OP-INJ-003,Beatriz Costa,2,Weight,g,12.0824,2026-08-03 09:28:00.467,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-03,OP-INJ-003,Beatriz Costa,3,Weight,g,12.0754,2026-08-03 09:32:00.017,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-03,OP-INJ-003,Carlos Mendes,1,Weight,g,12.0152,2026-08-03 09:36:00.434,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-03,OP-INJ-003,Carlos Mendes,2,Weight,g,12.0186,2026-08-03 09:40:00.492,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-03,OP-INJ-003,Carlos Mendes,3,Weight,g,12.0181,2026-08-03 09:44:00.255,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-04,OP-INJ-003,Ana Silva,1,Weight,g,14.0652,2026-08-03 09:48:00.073,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-04,OP-INJ-003,Ana Silva,2,Weight,g,14.1154,2026-08-03 09:52:00.970,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-04,OP-INJ-003,Ana Silva,3,Weight,g,14.1591,2026-08-03 09:56:00.500,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-04,OP-INJ-003,Beatriz Costa,1,Weight,g,14.0726,2026-08-03 10:00:00.129,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-04,OP-INJ-003,Beatriz Costa,2,Weight,g,14.0894,2026-08-03 10:04:00.884,10.3,12.05,13.8
GRR-CAP-WEIGHT-001,PART-04,OP-INJ-003,Beatriz Costa,3,Weight,g,14.0986,2026-08-03 10:08:00.642,10.3,12.05,13.8
