PrintLot,ProductBatch,SourceBottleWorkOrder,WorkOrder,ProductionDate,Shift,MachineId,PrintToolId,BottleId,ColorCount,ColorsUsed,Characteristic,Class,AQL,Standard,InspectionLevel,Frequency,Equipment,LotSize,CodeLetter,SampleSize,AcceptanceNumber,RejectionNumber,DefectsFound,LotDecision,InspectionDateTime,Inspector
LOTE-SK-M-SOP-007-2000,LOTE-M-SOP-007-2000,WO-1000,WO-12275,2025-07-02,Shift 3,SS-002,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-005,Registration,Critical,0.65,ISO 2859-1,II,Setup + 30 min,Registration Gauge,8053,L,200,5,6,0,Approved,2025-07-02 03:30:00.878,Carlos Mendes
LOTE-SK-M-SOP-007-2000,LOTE-M-SOP-007-2000,WO-1000,WO-12275,2025-07-02,Shift 3,SS-002,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-005,Smudge,Minor,1.5,ISO 2859-1,II,Continuous,D65 Light Booth,8053,L,200,10,11,1,Approved,2025-07-02 03:32:25.149,Ana Silva
LOTE-SK-M-SOP-007-2000,LOTE-M-SOP-007-2000,WO-1000,WO-12275,2025-07-02,Shift 3,SS-002,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-005,Pinholes,Minor,1.5,ISO 2859-1,II,Continuous,Lupa 10x,8053,L,200,10,11,0,Approved,2025-07-02 17:43:02.115,Ana Silva
LOTE-SK-M-SOP-007-2000,LOTE-M-SOP-007-2000,WO-1001,WO-12276,2025-07-03,Shift 1,SS-002,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-003,Centering,Critical,0.65,ISO 2859-1,II,Every 30 min,Registration Gauge,2430,L,200,5,6,0,Approved,2025-07-03 15:30:49.537,Carlos Mendes
LOTE-SK-M-SOP-007-2000,LOTE-M-SOP-007-2000,WO-1001,WO-12276,2025-07-03,Shift 1,SS-002,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-003,Color,Minor,1.5,ISO 2859-1,II,Every 30 min,Colorimeter,2430,L,200,10,11,2,Approved,2025-07-03 11:44:16.428,Ana Silva
LOTE-SK-M-SOP-007-2000,LOTE-M-SOP-007-2000,WO-1001,WO-12276,2025-07-03,Shift 1,SS-002,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-003,Smudge,Minor,1.5,ISO 2859-1,II,Continuous,D65 Light Booth,2430,L,200,10,11,1,Approved,2025-07-03 11:06:36.394,Beatriz Costa
LOTE-SK-M-SOP-007-2000,LOTE-M-SOP-007-2000,WO-1001,WO-12276,2025-07-03,Shift 1,SS-002,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-003,Adhesion,Critical,0.1,ISO 2859-1,II,Per lot,Cross Hatch Kit (ASTM D3359),2430,L,200,0,1,0,Approved,2025-07-03 11:18:22.216,Diogo Ferreira
LOTE-SK-M-SOP-007-2000,LOTE-M-SOP-007-2000,WO-1001,WO-12276,2025-07-03,  Shift 1  ,SS-002,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-003,Cure,Critical,0.1,ISO 2859-1,II,Per lot,MEK Rub Test,2430,L,200,0,1,0,Approved,2025-07-03 13:46:28.098,Ana Silva
LOTE-SK-M-SOP-007-2001,LOTE-M-SOP-007-2001,WO-1002,WO-12277,2025-07-04,Shift 3,SS-001,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-002, COR-001, COR-003",Registration,Critical,0.65,ISO 2859-1,II,Setup + 30 min,Registration Gauge,4411,L,200,5,6,0,Approved,2025-07-04 09:06:45.944,Diogo Ferreira
LOTE-SK-M-SOP-007-2001,LOTE-M-SOP-007-2001,WO-1002,WO-12277,2025-07-04,Shift 3,SS-001,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-002, COR-001, COR-003",Centering,Critical,0.65,ISO 2859-1,II,Every 30 min,Registration Gauge,4411,L,200,5,6,0,Approved,2025-07-04 21:46:49.898,Elena Santos
