PrintLot,BottleLot,SourceBottleWorkOrder,WorkOrder,ProductionDate,Shift,MachineId,PrintToolId,BottleId,ColorCount,ColorsUsed,LotSize,CodeLetter,SampleSize,CriticalDefects,MajorDefects,MinorDefects,TotalSampleDefects,AttributesDecision,FinalLotDecision,DispositionDetail,LotDecisionDateTime,Remarks,Inspector
LOTE-SK-M-SOP-007-2000,LOTE-M-SOP-007-2000,WO-1001,WO-12276,2025-07-03,SHIFT 1,SS-002,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-003,10483,M,315,0,0,4,4,Approved,Approved,Approved - First Pass,2025-07-04 04:29:24.710,—,Diogo Ferreira
LOTE-SK-M-SOP-007-2001,LOTE-M-SOP-007-2001,WO-1002,WO-12277,2025-07-04,Shift 3,SS-001,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-002, COR-001, COR-003",4411,L,200,0,1,2,3,Approved,Approved,Approved - First Pass,2025-07-05 11:08:13.508,—,Diogo Ferreira
LOTE-SK-M-SOP-007-2002,LOTE-M-SOP-007-2002,WO-1004,WO-12279,2025-07-05,Shift 3,SS-002,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-003, COR-007, COR-008",19474,M,315,0,2,7,9,Approved,Approved,Approved - First Pass,2025-07-06 07:30:43.902,—,Beatriz Costa
LOTE-SK-M-SOP-001-2003,LOTE-M-SOP-001-2003,WO-1005,WO-12280,2025-07-05,Shift 3,SS-001,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-006,6038,L,200,1,1,5,7,Approved,Rejected,Rejected - Scrapped,2025-07-06 14:09:11.608,—,Elena Santos
LOTE-SK-M-SOP-007-2007,LOTE-M-SOP-007-2007,WO-1012,WO-12284,2025-07-11,Shift 1,SS-001,SK-FR-007-PP-350-1C,FR-007-PP-350,1,COR-005,16690,M,315,0,0,5,5,Approved,Approved,Approved - First Pass,2025-07-12 04:55:13.317,—,Carlos Mendes
LOTE-SK-M-SOP-001-2008,LOTE-M-SOP-001-2008,WO-1014,WO-12286,2025-07-12,Shift 2,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-005,8947,L,200,1,2,14,17,Approved,Rejected,Rejected - Scrapped,2025-07-13 09:30:27.257,—,Beatriz Costa
LOTE-SK-M-SOP-001-2009,LOTE-M-SOP-001-2009,WO-1017,WO-12289,2025-07-13,Shift 1,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-003,10006,M,315,0,1,4,5,Approved,Approved,Approved - First Pass,2025-07-14 19:58:48.824,—,Elena Santos
LOTE-SK-M-SOP-007-2013,LOTE-M-SOP-007-2013,WO-1024,WO-12294,2025-07-19,Shift 3,SS-001,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-007, COR-006, COR-002",12778,M,315,0,0,7,7,Approved,Approved,Approved - First Pass,2025-07-20 07:30:32.628,—,Elena Santos
LOTE-SK-M-SOP-007-2015,LOTE-M-SOP-007-2015,WO-1028,WO-12297,2025-07-22,Shift 3,SS-001,SK-FR-007-HDPE-350-3C,FR-007-HDPE-350,3,"COR-001, COR-006, COR-005",13073,M,315,0,3,5,8,Approved,Approved,Approved - First Pass,2025-07-23 05:51:14.312,—,Elena Santos
LOTE-SK-M-SOP-001-2016,LOTE-M-SOP-001-2016,WO-1029,WO-12298,2025-07-23,Shift 1,SS-002,SK-FR-001-HDPE-300-1C,FR-001-HDPE-300,1,COR-005,6504,L,200,0,0,4,4,Approved,Approved,Approved - First Pass,2025-07-24 04:24:57.638,—,Carlos Mendes
