RecordSeq,Date,Process,MachineId,Shift,WorkOrder,MaterialId,MaterialLot,StartWeightKg,EndWeightKg
1,2025-07-01,Blow Molding,ISBM-001,Shift 3,WO-1000,COR-001,//,193.28,189.28
2,2025-07-01,Blow Molding,ISBM-001,Shift 2,WO-1001,COR-001,COL-COR-001-001,189.28,185.28
3,2025-07-02,Blow Molding,ISBM-001,Shift 1,WO-1002,COR-005,COL-COR-005-001,209.41,205.41
4,2025-07-03,Blow Molding,ISBM-001,Shift 3,WO-1003,COR-005,COL-COR-005-001,205.41,201.41
5,2025-07-03,Blow Molding,ISBM-001,Shift 2,WO-1004,COR-005,COL-COR-005-001,201.41,197.41
6,2025-07-04,Blow Molding,ISBM-001,  Shift 2  ,WO-1005,COR-007,COL-COR-007-001,244.01,240.01
7,2025-07-05,Blow Molding,ISBM-001,  Shift 1  ,WO-1006,COR-008,COL-COR-008-001,181.19,177.19
8,2025-07-06,Blow Molding,ISBM-001,Shift 3,WO-1007,COR-008,COL-COR-008-001,177.19,173.19
9,2025-07-06,Blow Molding,ISBM-001,Shift 1,WO-1008,COR-007,COL-COR-007-001,240.01,236.01
10,2025-07-07,Blow Molding,ISBM-001,Shift 1,WO-1009,COR-007,COL-COR-007-001,236.01,232.01
11,2025-07-08,Blow Molding,ISBM-001,Shift 3,WO-1010,COR-007,COL-COR-007-001,232.01,228.01
12,2025-07-08,blow molding,ISBM-001,shift 3,WO-1011,COR-001,COL-COR-001-001,185.28,181.28
13,2025-07-09,Blow Molding,ISBM-001,Shift 2,WO-1012,COR-001,COL-COR-001-001,181.28,177.28
14,2025-07-10,Blow Molding,ISBM-001,Shift 1,WO-1013,COR-007,COL-COR-007-001,228.01,224.01
15,2025-07-11,Blow Molding,ISBM-001,Shift 3,WO-1014,COR-007,COL-COR-007-001,224.01,220.01
16,2025-07-11,Blow Molding,ISBM-001,Shift 2,WO-1015,COR-007,COL-COR-007-001,220.01,216.01
17,2025-07-12,Blow Molding,ISBM-001,Shift 3,WO-1016,COR-007,COL-COR-007-001,216.01,212.01
