NCId,Date,Type,Source,Area,Process,Category,Severity,RelatedRecordId
NC-00000,2025-07-15,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2010
NC-00001,2025-08-01,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-001-2023
NC-00002,2025-08-11,Internal,Lot Concession/Deviation,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-007-2033
NC-00003,2025-09-24,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2065
NC-00004,2025-10-23,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-001-2091
NC-00005,2025-10-26,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2093
NC-00006,2025-11-04,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2102
NC-00007,2025-11-08,Internal,Lot Rework,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2106
NC-00008,2025-11-14,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2112
NC-00009,2025-12-03,Internal,Lot Concession/Deviation,Production,Blow Molding,In-Process Quality Deviation,Minor,LOTE-M-SOP-007-2126
NC-00010,2025-12-08,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2130
NC-00011,2025-12-21,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-001-2140
NC-00012,2026-01-04,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2150
NC-00013,2026-01-11,Internal,Lot Rejection,Production,BLOW MOLDING,In-Process Quality Deviation,Major,LOTE-M-SOP-001-2155
NC-00014,2026-01-18,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2159
NC-00015,2026-01-31,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-001-2168
NC-00016,2026-03-10,Internal,Lot Rejection,Production,blow molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2194
NC-00017,2026-03-16,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2200
NC-00018,2026-04-01,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-001-2213
NC-00019,2026-04-14,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2224
NC-00020,2026-04-22,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2230
NC-00021,2026-05-14,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2248
NC-00022,2026-05-19,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2252
NC-00023,2026-06-25,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-001-2284
NC-00024,2026-06-29,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2287
NC-00025,2026-07-08,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2296
NC-00026,2026-07-11,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-001-2298
NC-00027,2026-07-13,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-001-2299
NC-00028,2026-07-20,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-001-2306
NC-00029,2026-07-23,Internal,Lot Concession/Deviation,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2307
NC-00030,2026-08-05,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2318
NC-00031,2026-08-12,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-001-2323
NC-00032,2026-09-02,Internal,Lot Rejection,Production,  Blow Molding  ,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2342
NC-00033,2026-09-05,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2345
NC-00034,2026-09-06,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2346
NC-00035,2026-09-19,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2358
NC-00036,2026-10-18,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2377
NC-00037,2026-11-10,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2393
NC-00038,2026-11-14,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2396
NC-00039,2026-11-30,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2411
NC-00040,2026-12-03,Internal,Lot Rejection,Production,blow molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2413
NC-00041,2026-12-14,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-001-2421
NC-00042,2026-12-17,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-007-2424
NC-00043,2025-07-03,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-002-2437
NC-00044,2025-07-31,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-008-2459
NC-00045,2025-08-20,Internal,Lot Concession/Deviation,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-002-2475
NC-00046,2025-09-01,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-002-2484
NC-00047,2025-09-04,Internal,Lot Rejection,Production,blow molding,In-Process Quality Deviation,Major,LOTE-M-SOP-008-2487
NC-00048,2025-10-29,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-002-2538
NC-00049,2025-11-13,Internal,Lot Concession/Deviation,Production,blow molding,In-Process Quality Deviation,Major,LOTE-M-SOP-002-2553
NC-00050,2025-12-02,Internal,Lot Rejection,Production,Blow Molding,In-Process Quality Deviation,Major,LOTE-M-SOP-005-2566
