WorkOrder,Process,MachineId,MoldId,ProductionDate,BarrelTemperatureC,InjectionSpeedPct,CoolingTimeSec,PackingPressureBar,MoldTemperatureC,MoldHumidityPct
WO-7361,Injection Molding,IM-001,M-INJ-001,2025-07-01,221.5,74.0,11.4,59.3,40.2,
WO-7362,Injection Molding,IM-001,M-INJ-001,2025-07-01,224.9,69.2,10.5,54.4,49.5,
WO-7363,Injection Molding,IM-001,M-INJ-001,2025-07-02,226.2,69.2,12.3,64.0,42.4,
WO-7364,  Injection Molding  ,IM-001,M-INJ-001,2025-07-03,227.1,66.4,12.8,66.1,49.2,
WO-7365,Injection Molding,IM-001,M-INJ-001,2025-07-03,226.7,70.8,12.2,57.6,45.6,
WO-7366,Injection Molding,IM-001,M-INJ-001,2025-07-04,225.1,64.5,9.2,73.2,43.2,
WO-7367,Injection Molding,IM-001,M-INJ-001,2025-07-05,224.3,70.3,10.1,60.6,48.5,
WO-7368,Injection Molding,IM-001,M-INJ-001,2025-07-05,223.6,70.1,11.3,60.6,43.4,
WO-7369,Injection Molding,IM-001,M-INJ-001,2025-07-06,224.3,70.5,8.6,65.2,43.5,
WO-7370,Injection Molding,IM-001,M-INJ-001,2025-07-07,226.7,65.5,11.8,62.3,46.4,
WO-7371,INJECTION MOLDING,IM-001,M-INJ-001,2025-07-07,222.5,72.8,11.5,67.9,43.3,
WO-7372,Injection Molding,IM-001,M-INJ-001,2025-07-08,224.3,71.8,9.8,62.8,46.3,
WO-7373,Injection Molding,IM-001,M-INJ-001,2025-07-09,224.4,73.7,11.7,68.1,41.8,
WO-7374,Injection Molding,IM-001,M-INJ-001,2025-07-09,223.9,72.2,11.3,61.8,45.6,
WO-7375,Injection Molding,IM-001,M-INJ-001,2025-07-10,223.7,70.1,9.8,64.1,46.4,
WO-7376,Injection Molding,IM-001,M-INJ-001,2025-07-10,222.0,66.5,10.1,63.6,42.7,
WO-7377,Injection Molding,IM-001,M-INJ-001,2025-07-11,229.8,66.9,10.6,65.6,44.2,
WO-7378,Injection Molding,IM-001,M-INJ-001,2025-07-12,227.0,67.2,7.6,63.7,43.4,
WO-7379,Injection Molding,IM-001,M-INJ-001,2025-07-12,223.5,64.3,11.5,59.1,49.2,
