Date,Process,MachineId,ToolId,WorkOrder,PlannedQty,StartTime,EndTime,PlannedHours,ProductId
2025-07-01,Blow Molding,ISBM-001,M-SOP-007,WO-1000,10270,01:40:48,17:28:48,15.8,FR-007-PP-350
2025-07-01,Blow Molding,ISBM-001,M-SOP-007,WO-1001,7039,18:24:02,05:13:50,10.83,FR-007-PP-350
2025-07-02,blow molding,ISBM-001,M-SOP-007,WO-1002,8924,11:34:14,01:18:02,13.73,FR-007-HDPE-350
2025-07-03,blow molding,ISBM-001,M-SOP-007,WO-1003,11323,03:14:51,20:40:03,17.42,FR-007-HDPE-350
2025-07-03,Blow Molding,ISBM-001,M-SOP-007,WO-1004,12798,21:24:16,17:05:40,19.69,FR-007-HDPE-350
2025-07-04,Blow Molding,ISBM-001,M-SOP-001,WO-1005,7748,18:52:03,06:47:15,11.92,FR-001-HDPE-300
2025-07-05,Blow Molding,ISBM-001,M-SOP-001,WO-1006,10835,07:19:35,23:59:47,16.67,FR-001-rPET-300
2025-07-06,Blow Molding,ISBM-001,M-SOP-001,WO-1007,6123,00:40:13,10:05:25,9.42,FR-001-rPET-300
2025-07-06,BLOW MOLDING,ISBM-001,M-SOP-001,WO-1008,12441,10:59:54,06:08:18,19.14,FR-001-HDPE-PCR-300
2025-07-07,Blow Molding,ISBM-001,M-SOP-001,WO-1009,12090,06:42:14,01:18:14,18.6,FR-001-HDPE-PCR-300
2025-07-08,blow molding,ISBM-001,M-SOP-001,WO-1010,8372,04:13:25,17:06:13,12.88,FR-001-HDPE-PCR-300
2025-07-08,Blow Molding,ISBM-001,M-SOP-007,WO-1011,12284,23:56:26,18:50:26,18.9,FR-007-PP-350
2025-07-09,Blow Molding,ISBM-001,M-SOP-007,WO-1012,8950,20:23:20,10:09:32,13.77,FR-007-PP-350
2025-07-10,Blow Molding,ISBM-001,M-SOP-001,WO-1013,7865,12:06:45,00:12:45,12.1,FR-001-HDPE-300
2025-07-11,Blow Molding,ISBM-001,M-SOP-001,WO-1014,7091,02:57:38,13:52:14,10.91,FR-001-HDPE-300
2025-07-11,Blow Molding,ISBM-001,M-SOP-001,WO-1015,6818,14:16:15,00:45:39,10.49,FR-001-HDPE-300
2025-07-12,Blow Molding,ISBM-001,M-SOP-001,WO-1016,7202,03:31:02,14:35:50,11.08,FR-001-HDPE-300
2025-07-12,Blow Molding,ISBM-001,M-SOP-001,WO-1017,7793,15:36:43,03:36:07,11.99,FR-001-HDPE-300
2025-07-13,Blow Molding,ISBM-001,M-SOP-007,WO-1018,13376,07:02:34,03:37:22,20.58,FR-007-PVC-350
2025-07-14,Blow Molding,ISBM-001,M-SOP-007,WO-1019,11713,04:24:20,22:25:32,18.02,FR-007-PVC-350
2025-07-15,Blow Molding,ISBM-001,M-SOP-007,WO-1020,13104,01:43:56,21:53:32,20.16,FR-007-PVC-350
2025-07-15,Blow Molding,ISBM-001,M-SOP-007,WO-1021,6487,22:51:41,08:50:29,9.98,FR-007-HDPE-PCR-350
2025-07-16,Blow Molding,ISBM-001,M-SOP-001,WO-1022,8209,11:14:10,23:51:58,12.63,FR-001-HDPE-PCR-300
2025-07-17,BLOW MOLDING,ISBM-001,M-SOP-007,WO-1023,10172,01:33:08,17:12:08,15.65,FR-007-HDPE-350
2025-07-17,Blow Molding,ISBM-001,M-SOP-007,WO-1024,11232,19:39:12,12:56:00,17.28,FR-007-HDPE-350
2025-07-18,Blow Molding,ISBM-001,M-SOP-007,WO-1025,8560,14:23:30,03:33:42,13.17,FR-007-PP-PCR-350
2025-07-19,Blow Molding,ISBM-001,M-SOP-007,WO-1026,6207,04:15:59,13:48:59,9.55,FR-007-HDPE-350
2025-07-19,Blow Molding,ISBM-001,M-SOP-007,WO-1027,10562,21:35:19,13:50:19,16.25,FR-007-HDPE-350
2025-07-20,Blow Molding,ISBM-001,M-SOP-007,WO-1028,12096,15:52:02,10:28:38,18.61,FR-007-HDPE-350
2025-07-21,Blow Molding,ISBM-001,M-SOP-001,WO-1029,9620,17:19:33,08:07:33,14.8,FR-001-HDPE-300
2025-07-22,Blow Molding,ISBM-001,M-SOP-007,WO-1030,7917,10:29:42,22:40:30,12.18,FR-007-PP-PCR-350
2025-07-23,Blow Molding,ISBM-001,M-SOP-001,WO-1031,5824,01:18:04,10:15:40,8.96,FR-001-HDPE-PCR-300
