Date,Process,MachineId,ToolId,WorkOrder,ProductId,ProductBatch,StartTime,EndTime,PlannedQty,ProducedQty,RejectedQty,OperatorId,IsRedo,RedoOfBatch
2025-07-01,Blow Molding,ISBM-001,M-SOP-007,WO-1000,FR-007-PP-350,LOTE-M-SOP-007-2000,01:40:48,17:46:11,10270,9848,198,OP-SOP-004,False,
2025-07-01,Blow Molding,ISBM-001,M-SOP-007,WO-1001,FR-007-PP-350,LOTE-M-SOP-007-2000,18:24:02,11:05:19,7039,2951,124,OP-SOP-002,False,
2025-07-02,Blow Molding,ISBM-001,M-SOP-007,WO-1002,FR-007-HDPE-350,LOTE-M-SOP-007-2001,11:34:14,02:07:24,8924,8205,152,OP-SOP-004,False,
2025-07-03,BLOW MOLDING,ISBM-001,M-SOP-007,WO-1003,FR-007-HDPE-350,LOTE-M-SOP-007-2002,03:14:51,21:02:35,11323,11632,179,OP-SOP-001,False,
2025-07-03,Blow Molding,ISBM-001,M-SOP-007,WO-1004,FR-007-HDPE-350,LOTE-M-SOP-007-2002,21:24:16,17:22:27,12798,12795,256,OP-SOP-003,False,
2025-07-04,Blow Molding,ISBM-001,M-SOP-001,WO-1005,FR-001-HDPE-300,LOTE-M-SOP-001-2003,18:52:03,06:56:35,7748,7043,178,OP-SOP-003,False,
2025-07-05,Blow Molding,ISBM-001,M-SOP-001,WO-1006,FR-001-rPET-300,LOTE-M-SOP-001-2004,07:19:35,00:10:29,10835,10478,148,OP-SOP-002,False,
2025-07-06,Blow Molding,ISBM-001,M-SOP-001,WO-1007,FR-001-rPET-300,LOTE-M-SOP-001-2005,00:40:13,10:36:49,6123,5419,131,OP-SOP-001,False,
2025-07-06,Blow Molding,ISBM-001,M-SOP-001,WO-1008,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2006,10:59:54,06:30:32,12441,11774,188,OP-SOP-001,False,
2025-07-07,Blow Molding,ISBM-001,M-SOP-001,WO-1009,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2006,06:42:14,03:44:09,12090,9462,137,OP-SOP-002,False,
2025-07-08,Blow Molding,ISBM-001,M-SOP-001,WO-1010,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2006,04:13:25,22:20:09,8372,4472,84,OP-SOP-001,False,
2025-07-08,Blow Molding,ISBM-001,M-SOP-007,WO-1011,FR-007-PP-350,LOTE-M-SOP-007-2007,23:56:26,19:59:59,12284,10152,181,OP-SOP-004,False,
2025-07-09,Blow Molding,ISBM-001,M-SOP-007,WO-1012,FR-007-PP-350,LOTE-M-SOP-007-2007,20:23:20,10:19:08,8950,7858,341,OP-SOP-003,False,
2025-07-10,Blow Molding,ISBM-001,M-SOP-001,WO-1013,FR-001-HDPE-300,LOTE-M-SOP-001-2008,12:06:45,02:08:21,7865,6019,143,OP-SOP-002,False,
2025-07-11,Blow Molding,ISBM-001,M-SOP-001,WO-1014,FR-001-HDPE-300,LOTE-M-SOP-001-2008,02:57:38,13:57:38,7091,6108,120,OP-SOP-001,False,
2025-07-11,Blow Molding,ISBM-001,M-SOP-001,WO-1015,FR-001-HDPE-300,LOTE-M-SOP-001-2008,14:16:15,02:34:36,6818,4823,139,OP-SOP-002,False,
2025-07-12,Blow Molding,ISBM-001,M-SOP-001,WO-1016,FR-001-HDPE-300,LOTE-M-SOP-001-2009,03:31:02,14:50:11,7202,7098,144,OP-SOP-004,False,
2025-07-12,Blow Molding,ISBM-001,M-SOP-001,WO-1017,FR-001-HDPE-300,LOTE-M-SOP-001-2009,15:36:43,05:20:35,7793,6994,162,OP-SOP-001,False,
2025-07-13,Blow Molding,ISBM-001,M-SOP-007,WO-1018,FR-007-PVC-350,LOTE-M-SOP-007-2010,07:02:34,04:08:49,13376,12229,311,OP-SOP-001,False,
2025-07-14,Blow Molding,ISBM-001,M-SOP-007,WO-1019,FR-007-PVC-350,LOTE-M-SOP-007-2010,04:24:20,01:00:27,11713,10278,216,OP-SOP-001,False,
2025-07-15,Blow Molding,ISBM-001,M-SOP-007,WO-1020,FR-007-PVC-350,LOTE-M-SOP-007-2010,01:43:56,22:02:30,13104,11768,227,OP-SOP-004,False,
2025-07-15,Blow Molding,ISBM-001,M-SOP-007,WO-1021,FR-007-HDPE-PCR-350,LOTE-M-SOP-007-2011,22:51:41,09:04:46,6487,5827,81,OP-SOP-003,False,
2025-07-16,Blow Molding,ISBM-001,M-SOP-001,WO-1022,FR-001-HDPE-PCR-300,LOTE-M-SOP-001-2012,11:14:10,00:07:48,8209,7647,150,OP-SOP-002,False,
2025-07-17,blow molding,ISBM-001,M-SOP-007,WO-1023,FR-007-HDPE-350,LOTE-M-SOP-007-2013,01:33:08,18:45:22,10172,8768,182,OP-SOP-004,False,
2025-07-17,Blow Molding,ISBM-001,M-SOP-007,WO-1024,FR-007-HDPE-350,LOTE-M-SOP-007-2013,19:39:12,13:54:00,11232,9494,184,OP-SOP-002,False,
2025-07-18,Blow Molding,ISBM-001,M-SOP-007,WO-1025,FR-007-PP-PCR-350,LOTE-M-SOP-007-2014,14:23:30,04:01:53,8560,7982,243,OP-SOP-001,False,
2025-07-19,Blow Molding,ISBM-001,M-SOP-007,WO-1026,FR-007-HDPE-350,LOTE-M-SOP-007-2015,04:15:59,21:23:28,6207,1162,29,OP-SOP-002,False,
2025-07-19,Blow Molding,ISBM-001,M-SOP-007,WO-1027,FR-007-HDPE-350,LOTE-M-SOP-007-2015,21:35:19,14:54:03,10562,9323,204,OP-SOP-004,False,
