InspectionId,Date,SupplierId,Material,MaterialLotId,PurchaseOrderId,Characteristic,Standard,Method,Unit,ResultValue,LSL,Nominal,USL,Result,Inspector
RI-000001,2025-07-01,SUP-004,HDPE-PCR,RM-HDPE-PCR-00001,PO-5000,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.2817,0.2,0.32,0.5,Pass,Diogo Ferreira
RI-000002,2025-07-01,SUP-004,HDPE-PCR,RM-HDPE-PCR-00001,PO-5000,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9534,0.948,0.953,0.96,Pass,Diogo Ferreira
RI-000003,2025-07-01,SUP-004,HDPE-PCR,RM-HDPE-PCR-00001,PO-5000,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,202.3078,0.0,200.0,400.0,Pass,Diogo Ferreira
RI-000004,2025-07-01,SUP-004,HDPE-PCR,RM-HDPE-PCR-00001,PO-5000,Foreign Matter / Contamination,Internal Method IM-014 (visual + sieve),Visual / Sieve Analysis,specks/kg,3.6022,0.0,3.0,8.0,Pass,Carlos Mendes
RI-000005,2025-07-01,SUP-004,HDPE-PCR,RM-HDPE-PCR-00001,PO-5000,Tensile Strength at Yield,ASTM D638 / ISO 527,Universal Testing Machine,MPa,23.7114,18.0,24.0,30.0,Pass,Carlos Mendes
RI-000006,2025-07-01,SUP-001,MDPE,RM-MDPE-00001,PO-5001,Melt Flow Index,ASTM D1238 / ISO 1133,Melt Indexer,g/10min,0.4999,0.3,0.45,0.65,Pass,Elena Santos
RI-000007,2025-07-01,SUP-001,MDPE,RM-MDPE-00001,PO-5001,Density,ASTM D792 / ISO 1183,Density Column,g/cm3,0.9376,0.933,0.937,0.941,Pass,Beatriz Costa
RI-000008,2025-07-01,SUP-001,MDPE,RM-MDPE-00001,PO-5001,Moisture Content,ASTM D6980 / ISO 15512,Karl Fischer Titration,ppm,145.4312,0.0,130.0,260.0,Pass,Ana Silva
RI-000009,2025-07-01,SUP-008,Masterbatch,RM-Masterbatch-00001,PO-5002,Carrier Resin MFI,ASTM D1238,Melt Indexer,g/10min,2.9496,2.0,3.0,4.5,Pass,Carlos Mendes
RI-000010,2025-07-01,SUP-008,Masterbatch,RM-Masterbatch-00001,PO-5002,Pigment Dispersion,ASTM D2663 (Method A),Microscopy,rating 1-5,4.453,3.5,4.5,5.0,Pass,Diogo Ferreira
