SalesOrderId,Date,CustomerId,ProductFamily,Process,ProductId,WorkOrder,LotId,MachineId,ShippedQty,UnitPriceBRL,TotalValueBRL
SO-10000,2025-07-04,CUST-009,Bottle,Blow Molding,FR-007-PP-350,WO-1000,2527231010100001,ISBM-001,6801,0.1741,1184.05
SO-10001,2025-07-05,CUST-006,Bottle,Blow Molding,FR-007-PP-350,WO-1001,2527221010100102,ISBM-001,1545,0.3086,476.79
SO-10002,2025-07-06,CUST-010,Bottle,Blow Molding,FR-007-HDPE-350,WO-1002,2527311010100203,ISBM-001,4246,0.183,777.02
SO-10003,2025-07-06,CUST-002,Bottle,BLOW MOLDING,FR-007-HDPE-350,WO-1003,2527431010100304,ISBM-001,7453,0.2775,2068.21
SO-10004,2025-07-14,CUST-005,Bottle,Blow Molding,FR-001-HDPE-300,WO-1005,2527521010100506,ISBM-001,6660,0.3412,2272.39
SO-10005,2025-07-17,CUST-009,Bottle,Blow Molding,FR-001-rPET-300,WO-1007,2527731010100708,ISBM-001,4064,0.261,1060.7
SO-10006,2025-07-17,CUST-010,Bottle,Blow Molding,FR-001-HDPE-PCR-300,WO-1009,2528111010100910,ISBM-001,5960,0.0876,522.1
SO-10007,2025-07-10,CUST-014,Bottle,Blow Molding,FR-001-HDPE-PCR-300,WO-1010,2528231010101011,ISBM-001,1869,0.0983,183.72
SO-10008,2025-07-15,CUST-009,Bottle,Blow Molding,FR-007-PP-350,WO-1011,2528231010101112,ISBM-001,4895,0.2941,1439.62
SO-10009,2025-07-21,CUST-001,Bottle,BLOW MOLDING,FR-007-PP-350,WO-1012,2528321010101213,ISBM-001,4145,0.3063,1269.61
SO-10010,2025-07-18,CUST-002,Bottle,Blow Molding,FR-001-HDPE-300,WO-1013,2528411010101314,ISBM-001,5498,0.2545,1399.24
SO-10011,2025-07-17,CUST-001,Bottle,Blow Molding,FR-001-HDPE-300,WO-1014,2528531010101415,ISBM-001,3265,0.2391,780.66
SO-10012,2025-07-14,CUST-014,Bottle,Blow Molding,FR-001-HDPE-300,WO-1015,2528521010101516,ISBM-001,3512,0.1198,420.74
SO-10013,2025-07-13,CUST-005,Bottle,Blow Molding,FR-001-HDPE-300,WO-1016,2528631010101617,ISBM-001,3080,0.3375,1039.5
SO-10014,2025-07-23,CUST-014,Bottle,Blow Molding,FR-001-HDPE-300,WO-1017,2528621010101718,ISBM-001,6070,0.0814,494.1
SO-10015,2025-07-25,CUST-003,Bottle,Blow Molding,FR-007-PVC-350,WO-1018,2528711010101819,ISBM-001,10049,0.2626,2638.87
SO-10016,2025-07-21,CUST-007,Bottle,Blow Molding,FR-007-PVC-350,WO-1019,2529131010101920,ISBM-001,7693,0.3111,2393.29
SO-10017,2025-07-18,CUST-001,Bottle,Blow Molding,FR-007-PVC-350,WO-1020,2529231010102021,ISBM-001,10059,0.2367,2380.97
SO-10018,2025-07-25,CUST-002,Bottle,Blow Molding,FR-001-HDPE-PCR-300,WO-1022,2529311010102223,ISBM-001,4993,0.3187,1591.27
SO-10019,2025-07-28,CUST-001,Bottle,Blow Molding,FR-007-HDPE-350,WO-1023,2529431010102324,ISBM-001,4845,0.2395,1160.38
SO-10020,2025-07-29,CUST-009,Bottle,Blow Molding,FR-007-HDPE-350,WO-1024,2529421010102425,ISBM-001,3854,0.1854,714.53
SO-10021,2025-07-23,CUST-008,Bottle,Blow Molding,FR-007-PP-PCR-350,WO-1025,2529521010102526,ISBM-001,6366,0.2058,1310.12
SO-10022,2025-07-28,CUST-010,Bottle,blow molding,FR-007-HDPE-350,WO-1026,2529631010102627,ISBM-001,884,0.2633,232.76
