SupplierComplaintId,Date,SupplierId,Material,MaterialLotId,PurchaseOrderId,IssueType,DateSupplierResponded,DateResolved,Status
SC-30000,2025-07-05,SUP-002,PP,RM-PP-00004,PO-5020,Off-Spec Test Result,2025-07-12,2025-07-19,Closed
SC-30001,2025-07-10,SUP-004,HDPE-PCR,RM-HDPE-PCR-00004,PO-5033,Off-Spec Test Result,2025-07-18,,Open
SC-30002,2025-07-12,SUP-007,PP,RM-PP-00007,PO-5044,Off-Spec Test Result,2025-07-22,2025-07-26,Closed
SC-30003,2025-07-12,SUP-004,rPET,RM-rPET-00005,PO-5047,Off-Spec Test Result,2025-07-22,2025-07-26,Closed
SC-30004,2025-07-14,SUP-001,MDPE,RM-MDPE-00004,PO-5052,Off-Spec Test Result,2025-07-25,2025-07-28,Closed
SC-30005,2025-07-14,SUP-008,Masterbatch,RM-Masterbatch-00007,PO-5053,Off-Spec Test Result,2025-07-23,2025-08-01,Closed
SC-30006,2025-07-24,SUP-005,PP,RM-PP-00013,PO-5090,Off-Spec Test Result,2025-07-31,2025-08-08,Closed
SC-30007,2025-07-29,SUP-003,PET,RM-PET-00009,PO-5100,Off-Spec Test Result,2025-08-03,2025-08-09,Closed
SC-30008,2025-08-28,SUP-007,LDPE,RM-LDPE-00020,PO-5191,Off-Spec Test Result,2025-09-01,2025-09-09,Closed
SC-30009,2025-09-12,SUP-001,MDPE,RM-MDPE-00021,PO-5244,Off-Spec Test Result,2025-09-18,,Open
SC-30010,2025-09-13,SUP-005,PVC,RM-PVC-00022,PO-5250,Off-Spec Test Result,2025-09-17,2025-09-19,Closed
SC-30011,2025-09-20,SUP-008,Masterbatch,RM-Masterbatch-00027,PO-5265,Off-Spec Test Result,2025-09-24,2025-09-25,Closed
SC-30012,2025-09-21,SUP-004,HDPE-PCR,RM-HDPE-PCR-00028,PO-5269,Off-Spec Test Result,2025-10-01,2025-10-04,Closed
SC-30013,2025-09-23,SUP-005,PP,RM-PP-00028,PO-5280,Off-Spec Test Result,2025-09-28,2025-09-29,Closed
