SupplierId,SupplierName,Country,HeadquartersCity,MaterialsSupplied,SupplierTier,YearsAsSupplier,ContractType
SUP-001,PolyGlobal Resins Corp,USA,Houston,"HDPE, LDPE, MDPE",Tier 1,12,Annual Contract
SUP-002,Meridian Petrochemicals GmbH,Germany,Ludwigshafen,"PP, PP-PCR",Tier 1,17,Annual Contract
SUP-003,NorthStar Polymer Solutions,USA,Baytown,"PET, PETG",Tier 1,19,Annual Contract
SUP-004,TransAtlantic Polymers plc,United Kingdom,Wilton,"HDPE-PCR, rPET",Tier 2,15,Annual Contract
SUP-005,Orient Polymer Industries,Singapore,Jurong Island,"PP, PVC",Tier 1,4,Spot Purchase
SUP-006,Zenith Chemicals Group,Netherlands,Rotterdam,"HDPE, PET",Tier 1,7,Multi-Year Agreement
SUP-007,Tarraco Petroquimica S.A.,Spain,Tarragona,"PP, HDPE, LDPE",Tier 2,16,Annual Contract
SUP-008,Lusomastic Polimeros S.A.,Portugal,Matosinhos,Masterbatch,Tier 2,6,Multi-Year Agreement
SUP-009,FarmaResin Especialidades Ltda,Brazil,São Paulo,"PP-PG, PET-PG",Tier 2,1,Spot Purchase
SUP-010,NutriPolímeros Ibéria S.A.,Spain,Valencia,"HDPE-FG, PP-FG",Tier 1,1,Annual Contract
